step_id,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,"I hope you're ready to go into rooms and interact with objects, because you've just entered TextWorld! First thing I need you to do is to make an attempt to travel south. After that, make an effort to venture east. With that done, try to go to the east. And then, take a trip east. Following that, go to the north. If you can finish that, travel east. Then, move south. After that, make an attempt to venture west. Then, head south. After that, attempt to go west. And then, go to the south. And then, try to head south. With that done, make an attempt to venture south. Then, travel east. And then, go east. After that, go north. And then, make an attempt to venture west. After that, venture north. With that accomplished, make an attempt to travel west. That done, take a trip south. With that over with, travel south. After that, make an attempt to move south. And then, try to venture west. Following that, take a trip west. With that done, make an effort to venture north. After that, move north. Then, make an effort to move north. With that over with, attempt to move west. Following that, take a trip west. Okay, and then, venture south. Okay, and then, take a trip west. With that done, attempt to move south. Then, move west. Once you finish that, head west. After that, venture south. Next, go east. And then, venture north. With that done, travel west. Following that, make an attempt to go to the west. And then, venture south. If you can get through with that, go south. If you can do that, make an attempt to take a trip east. With that over with, make an effort to travel north. Once you do that, make an effort to move north. Then, try to venture north. And then, go west. If you can do that, move west. And then, venture west. And then, attempt to venture north. And then, go west. And then, venture north. And then, venture north. Following that, make an effort to take a trip east. Following that, attempt to take a trip east. And then, go to the north. Following that, travel west. Okay, and then, make an effort to travel south. And then, attempt to venture west. Then, take a trip west. Then, retrieve the coin from the floor of the cheap launderette. And if you do that, you're the winner!",,Cookery,"Well, here we are in the cookery.



There is an unguarded exit to the north. There is an exit to the south. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
1,"I must follow the given path sequence, starting by traveling south from the cookery.",go south,,"You're now in the recreation zone. You decide to just list off a complete list of everything you see in the room, because hey, why not?



There is an exit to the east. Don't worry, it is unblocked. There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You need an unblocked exit? You should try going west.",Recreation Zone,"You're now in the recreation zone. You decide to just list off a complete list of everything you see in the room, because hey, why not?



There is an exit to the east. Don't worry, it is unblocked. There is an exit to the north. Don't worry, it is unblocked. You need an unblocked exit? You should try going south. You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
2,The next instructed move after south is to venture east.,go east,,"Well, here we are in the steamy scullery. You begin looking for stuff.



There is an exit to the east. Don't worry, it is unguarded. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unblocked. You need an unblocked exit? You should try going west.",Steamy Scullery,"Well, here we are in the steamy scullery. You begin looking for stuff.



There is an exit to the east. Don't worry, it is unguarded. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unblocked. You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
3,The next required move in the sequence is to go east again.,go east,,"You arrive in a workshop. A silent one.



You don't like doors? Why not try going east, that entranceway is unguarded. You need an unblocked exit? You should try going north. There is an unguarded exit to the south. There is an unguarded exit to the west.",Silent Workshop,"You arrive in a workshop. A silent one.



You don't like doors? Why not try going east, that entranceway is unguarded. You need an unblocked exit? You should try going north. There is an unguarded exit to the south. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
4,The sequence says to take a trip east next.,go east,,"Well how about that, you are in a place we're calling a clean bathroom.



There is an exit to the east. Don't worry, it is unguarded. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unblocked. There is an unblocked exit to the west.",Clean Bathroom,"Well how about that, you are in a place we're calling a clean bathroom.



There is an exit to the east. Don't worry, it is unguarded. There is an unblocked exit to the north. You don't like doors? Why not try going south, that entranceway is unblocked. There is an unblocked exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
5,Next the instructions say to go north.,go north,,"You are in a cubicle. A still one. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded. There is an unblocked exit to the west.",Still Cubicle,"You are in a cubicle. A still one. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



You need an unblocked exit? You should try going east. There is an exit to the north. Don't worry, it is unguarded. There is an exit to the south. Don't worry, it is unguarded. There is an unblocked exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
6,Next move in the given sequence is to travel east.,go east,,"Ah, the playroom. This is some kind of playroom, really great exciting vibes in this place, a wonderful exciting atmosphere. And now, well, you're in it. You decide to just list off a complete list of everything you see in the room, because hey, why not?



You don't like doors? Why not try going east, that entranceway is unblocked. There is an unblocked exit to the north. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unguarded.",Exciting Playroom,"Ah, the playroom. This is some kind of playroom, really great exciting vibes in this place, a wonderful exciting atmosphere. And now, well, you're in it. You decide to just list off a complete list of everything you see in the room, because hey, why not?



You don't like doors? Why not try going east, that entranceway is unblocked. There is an unblocked exit to the north. You need an unblocked exit? You should try going south. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
7,The next instructed direction is to move south.,go south,,"Well how about that, you are in the place we're calling the still workshop.



There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unblocked. There is an exit to the south. Don't worry, it is unblocked. There is an unblocked exit to the west.",Still Workshop,"Well how about that, you are in the place we're calling the still workshop.



There is an unblocked exit to the east. There is an exit to the north. Don't worry, it is unblocked. There is an exit to the south. Don't worry, it is unblocked. There is an unblocked exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
8,Next in the sequence is to venture west.,go west,,"You are in a steamy dish-pit. Okay, just remember what you're here to do, and everything will go great.



You don't like doors? Why not try going east, that entranceway is unguarded. You don't like doors? Why not try going north, that entranceway is unblocked. There is an unguarded exit to the south. There is an exit to the west. Don't worry, it is unguarded.",Steamy Dish-Pit,"You are in a steamy dish-pit. Okay, just remember what you're here to do, and everything will go great.



You don't like doors? Why not try going east, that entranceway is unguarded. You don't like doors? Why not try going north, that entranceway is unblocked. There is an unguarded exit to the south. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
9,The next required move is to head south.,go south,,"You arrive in a closet. A forgotten one. Let's see what's in here.



There is an exit to the east. Don't worry, it is unguarded. There is an unguarded exit to the north. There is an unguarded exit to the south. You don't like doors? Why not try going west, that entranceway is unblocked.",Forgotten Closet,"You arrive in a closet. A forgotten one. Let's see what's in here.



There is an exit to the east. Don't worry, it is unguarded. There is an unguarded exit to the north. There is an unguarded exit to the south. You don't like doors? Why not try going west, that entranceway is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
