agent_name,model_name,eval_name,task_id,type,question,correct_answer,agent_answer,reward,steps,input_tokens,output_tokens,total_tokens,reward_per_step,reward_per_token,error
react,gpt-4.1-mini,gsm-8k-10,0,Math,"Tony exercises every morning by walking 3 miles carrying a 25-pound backpack, then he runs another 10 miles without the backpack.  If he walks at a speed of 3 miles per hour and runs at a speed of 5 miles per hour, how many hours each week does he spend exercising?",21,"""Tony spends 21 hours exercising each week.""",1.0,3,1285,178,1463,0.3333333333333333,0.000683526999316473,
react,gpt-4.1-mini,gsm-8k-10,1,Math,"Jerry owes a loan shark $200. The loan shark charges Jerry 10% interest compounded monthly. (This means that every month the loan shark adds Jerry's interest amount to his loan, and the next month Jerry has to pay 10% on the new total). If Jerry doesn't make any payments, how much (in dollars) does the loan shark charge in interest the second month?",22,"""22""",1.0,2,806,133,939,0.5,0.0010649627263045794,
react,gpt-4.1-mini,gsm-8k-10,2,Math,Borris liquor store uses 90 kilograms of grapes every 6 months. He is thinking of increasing his production by twenty percent. How many grapes does he need in a year after increasing his production?,216,"""216 kilograms""",1.0,2,725,128,853,0.5,0.0011723329425556857,
react,gpt-4.1-mini,gsm-8k-10,3,Math,There were 133 people at a camp. There were 33 more boys than girls. How many girls were at the camp?,50,"""50""",1.0,3,1153,162,1315,0.3333333333333333,0.0007604562737642585,
react,gpt-4.1-mini,gsm-8k-10,4,Math,John's weight bench can support 1000 pounds.  He wants to make sure to stay 20% under that weight for safety.  If he weighs 250 pounds how much weight can he put on the bar?,550,"""John can put 550 pounds on the bar.""",1.0,2,706,124,830,0.5,0.0012048192771084338,
react,gpt-4.1-mini,gsm-8k-10,5,Math,"To produce one chocolate bar, a company needs 1.5 grams of sugar. Every minute the company produces 36 chocolate bars. How many grams of sugar will the company use in two minutes?",108,"""108 grams of sugar""",1.0,2,708,101,809,0.5,0.0012360939431396785,
react,gpt-4.1-mini,gsm-8k-10,6,Math,"The football coach makes his players run up and down the bleachers 40 times. Each time they run up and down 32 stairs one way. If each stair burns 2 calories, how many calories does each player burn during this exercise?",5120,"""5120 calories""",1.0,2,765,143,908,0.5,0.0011013215859030838,
react,gpt-4.1-mini,gsm-8k-10,7,Math,"Cara has 60 marbles in a bag. 20 of them are yellow, half as many are green, and the remaining marbles are equally divided between red and blue. If Cara picks a marble at random, what are the odds it's blue (expressed as a percentage)?",25,"""25%""",1.0,5,2466,287,2753,0.2,0.0003632401017072285,
react,gpt-4.1-mini,gsm-8k-10,8,Math,Samuel bought 2 dozen doughnuts and Cathy bought 3 dozen doughnuts. They planned to share the doughnuts evenly with their 8 other friends. How many doughnuts will each of them receive?,6,"""Each person will receive 6 doughnuts.""",1.0,2,717,110,827,0.5,0.0012091898428053204,
react,gpt-4.1-mini,gsm-8k-10,9,Math,"Susan walked to the market to buy five dozen peaches.  To carry them home, she brought two identically-sized cloth bags and a much smaller knapsack.  Into the knapsack she placed half as many peaches as she placed in each of the two cloth bags. How many peaches did she put in the knapsack?",12,"""12""",1.0,3,1401,267,1668,0.3333333333333333,0.0005995203836930455,
