step_id,plan,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,"You are now playing a fast paced session of TextWorld! Here is your task for today. First off, if it's not too much trouble, I need you to go to the west. After that, go to the west. If you can accomplish that, go north. And then, make an attempt to venture east. With that done, move east. Okay, and then, make an attempt to go east. And then, go south. And then, make an attempt to go to the east. With that done, go to the north. And then, venture west. And then, make an attempt to head north. After that, make an effort to travel north. Then, travel north. And then, head west. Once you accomplish that, attempt to travel west. With that done, venture south. Next, make an attempt to take a trip west. Then, head north. Next, try to take a trip west. After that, take a trip south. After that, take a trip south. After that, make an attempt to go west. Okay, and then, attempt to take a trip north. Okay, and then, venture north. Following that, attempt to move north. Then, travel north. With that done, make an attempt to travel east. And then, travel east. And then, attempt to travel east. Then, try to travel south. Once you get through with that, make an attempt to go to the west. Then, go to the west. Next, go to the west. Then, try to take a trip south. Once you do that, travel east. With that over with, take a trip north. If you can accomplish that, make an effort to go to the west. With that accomplished, attempt to go south. After that, go to the west. And then, attempt to head south. After that, go south. Okay, and then, head east. Then, take a trip south. And then, take a trip east. After that, go east. That done, attempt to venture north. Then, head west. That done, make an attempt to move north. If you can get around to doing that, venture east. Once you accomplish that, go north. Following that, go west. With that over with, venture south. Okay, and then, try to take a trip south. Then, go to the west. Then, try to travel north. After that, make an effort to travel west. After that, make an effort to move west. Okay, and then, try to go to the west. Next, make an effort to venture west. And then, travel west. Okay, and then, move south. Next, try to head south. And then, travel east. And then, take a trip south. After that, go south. Next, make an attempt to go south. Once you get through with that, venture west. And then, go west. After that, travel west. Then, attempt to go west. Then, make an attempt to take a trip west. Then, venture west. And then, try to go south. Once you get around to doing that, move east. And then, head south. And then, head south. Following that, move west. Then, make an effort to travel south. After that, move south. Then, go west. And then, make an effort to go west. With that done, try to head north. With that over with, attempt to travel west. Following that, make an effort to go to the west. And then, make an attempt to move west. And then, try to head north. After that, make an attempt to take a trip east. After that, make an attempt to go north. With that over with, make an attempt to move north. Then, try to take a trip north. And then, travel north. Next, move west. That done, attempt to head west. If you can get through with that, recover the coin from the floor of the steamy launderette. And once you've done that, you win!",,Cubicle,"You've entered a cubicle. You decide to start listing off everything you see in the room, as if you were in a text adventure.



You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
1,,"The task instructs to first go west, so I will go west from the cubicle.",go west,,"-= Bedchamber =-
You arrive in a bedchamber. A normal kind of place.



There is an unguarded exit to the east. There is an exit to the west. Don't worry, it is unblocked.",Bedchamber,"You arrive in a bedchamber. A normal kind of place.



There is an unguarded exit to the east. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
2,,"The task says to go west again, so I will go west from the bedchamber.",go west,,"-= Office =-
You've just shown up in an office. You can barely contain your excitement.



You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going north.",Office,"You've just shown up in an office. You can barely contain your excitement.



You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going north.",You are carrying nothing.,0 of 1,0.0,False,
3,,"The task says to go north after going west twice, so I will go north from the office.",go north,,"-= Laundry Place =-
You've come into a normal room. Your mind races to think of what kind of room would be normal. And then it hits you. Of course. You're in the laundry place. You begin looking for stuff.



You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unblocked.",Laundry Place,"You've come into a normal room. Your mind races to think of what kind of room would be normal. And then it hits you. Of course. You're in the laundry place. You begin looking for stuff.



You don't like doors? Why not try going east, that entranceway is unblocked. There is an exit to the south. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
4,,"The task says to attempt to go east, so I will go east from the laundry place.",go east,,"-= Cookery =-
You are in a cookery. You start to take note of what's in the room.



There is an unguarded exit to the east. There is an exit to the west. Don't worry, it is unguarded.",Cookery,"You are in a cookery. You start to take note of what's in the room.



There is an unguarded exit to the east. There is an exit to the west. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
5,,"The task says to move east again, so I will go east from the cookery.",go east,,"-= Fun Bar =-
You've entered a fun bar. The room is well lit.



You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going west.",Fun Bar,"You've entered a fun bar. The room is well lit.



You don't like doors? Why not try going east, that entranceway is unguarded. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
6,,"The task says to attempt to go east again, so I will go east from the fun bar.",go east,,"-= Basement =-
Ah, the basement. This is some kind of basement, really great typical vibes in this place, a wonderful typical atmosphere. You decide to start listing off everything you see in the room, as if you were in a text adventure.



You need an unblocked exit? You should try going south. You need an unguarded exit? You should try going west.",Basement,"Ah, the basement. This is some kind of basement, really great typical vibes in this place, a wonderful typical atmosphere. You decide to start listing off everything you see in the room, as if you were in a text adventure.



You need an unblocked exit? You should try going south. You need an unguarded exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
7,,"The task says to go south after attempting to go east, so I will go south from the basement.",go south,,"-= Forgotten Pantry =-
You've just walked into a forgotten pantry.



You don't like doors? Why not try going east, that entranceway is unguarded. There is an unguarded exit to the north.",Forgotten Pantry,"You've just walked into a forgotten pantry.



You don't like doors? Why not try going east, that entranceway is unguarded. There is an unguarded exit to the north.",You are carrying nothing.,0 of 1,0.0,False,
8,,"The task says to attempt to go east, so I will go east from the forgotten pantry.",go east,,"-= Silent Workshop =-
You are in a workshop. A silent one.



You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",Silent Workshop,"You are in a workshop. A silent one.



You don't like doors? Why not try going north, that entranceway is unblocked. You don't like doors? Why not try going west, that entranceway is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
9,,"The task says to go north after attempting to go east, so I will go north from the silent workshop.",go north,,"-= Austere Office =-
You are in an office. An austere one.



You need an unblocked exit? You should try going south. You need an unblocked exit? You should try going west.",Austere Office,"You are in an office. An austere one.



You need an unblocked exit? You should try going south. You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
10,,"The task says to venture west after going north, so I will go west from the austere office.",go west,,"-= Well Lit Salon =-
You make a grand eccentric entrance into a well lit salon. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



There is an unguarded exit to the east. You need an unblocked exit? You should try going north.",Well Lit Salon,"You make a grand eccentric entrance into a well lit salon. The room seems oddly familiar, as though it were only superficially different from the other rooms in the building.



There is an unguarded exit to the east. You need an unblocked exit? You should try going north.",You are carrying nothing.,0 of 1,0.0,False,
11,,"The task says to attempt to head north after going west, so I will go north from the well lit salon.",go north,,"-= Ugly Cellar =-
You're now in the ugly cellar.



You need an unblocked exit? You should try going north. There is an exit to the south. Don't worry, it is unguarded.",Ugly Cellar,"You're now in the ugly cellar.



You need an unblocked exit? You should try going north. There is an exit to the south. Don't worry, it is unguarded.",You are carrying nothing.,0 of 1,0.0,False,
12,,"The task says to make an effort to travel north, so I will go north from the ugly cellar.",go north,,"-= Misty Sauna =-
You find yourself in a sauna. A misty kind of place. You begin looking for stuff.



You don't like doors? Why not try going north, that entranceway is unblocked. There is an unguarded exit to the south.",Misty Sauna,"You find yourself in a sauna. A misty kind of place. You begin looking for stuff.



You don't like doors? Why not try going north, that entranceway is unblocked. There is an unguarded exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
13,,"The task says to travel north again, so I will go north from the misty sauna.",go north,,"-= Shower =-
You've just shown up in a shower. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",Shower,"You've just shown up in a shower. You try to gain information on your surroundings by using a technique you call ""looking.""



There is an exit to the south. Don't worry, it is unguarded. There is an unguarded exit to the west.",You are carrying nothing.,0 of 1,0.0,False,
14,,"The task says to travel north again, but there is no north exit here. I will go west instead as it is unguarded.",go west,,"-= Dish-Pit =-
You arrive in a dish-pit. A normal one.



There is an exit to the east. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unblocked.",Dish-Pit,"You arrive in a dish-pit. A normal one.



There is an exit to the east. Don't worry, it is unguarded. There is an exit to the west. Don't worry, it is unblocked.",You are carrying nothing.,0 of 1,0.0,False,
15,,"The task says to head west after traveling north, so I will go west from the dish-pit.",go west,,"-= Kitchen =-
You have fallen into the most normal of all possible kitchens. You try to gain information on your surroundings by using a technique you call ""looking.""



You need an unblocked exit? You should try going east. There is an unguarded exit to the south.",Kitchen,"You have fallen into the most normal of all possible kitchens. You try to gain information on your surroundings by using a technique you call ""looking.""



You need an unblocked exit? You should try going east. There is an unguarded exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
16,,"The task says to attempt to head west again, but there is no west exit here. I will try to go south instead.",go south,,"-= Workshop =-
I am honoured to announce that you are now in the workshop.



You don't like doors? Why not try going north, that entranceway is unguarded. You need an unblocked exit? You should try going west.",Workshop,"I am honoured to announce that you are now in the workshop.



You don't like doors? Why not try going north, that entranceway is unguarded. You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
17,,"The task says to try to head north, so I will go north from the workshop.",go north,,"-= Kitchen =-
You have fallen into the most normal of all possible kitchens. You try to gain information on your surroundings by using a technique you call ""looking.""



You need an unblocked exit? You should try going east. There is an unguarded exit to the south.",Kitchen,"You have fallen into the most normal of all possible kitchens. You try to gain information on your surroundings by using a technique you call ""looking.""



You need an unblocked exit? You should try going east. There is an unguarded exit to the south.",You are carrying nothing.,0 of 1,0.0,False,
18,,"The task says to attempt to travel west again, but there is no west exit here. I will try to go south instead.",go south,,"-= Workshop =-
I am honoured to announce that you are now in the workshop.



You don't like doors? Why not try going north, that entranceway is unguarded. You need an unblocked exit? You should try going west.",Workshop,"I am honoured to announce that you are now in the workshop.



You don't like doors? Why not try going north, that entranceway is unguarded. You need an unblocked exit? You should try going west.",You are carrying nothing.,0 of 1,0.0,False,
19,,"The task says to try to go to the west, so I will go west from the workshop.",go west,,"-= Parlor =-
You are in a parlor. A typical one.



You need an unblocked exit? You should try going east. There is an unblocked exit to the north.",Parlor,"You are in a parlor. A typical one.



You need an unblocked exit? You should try going east. There is an unblocked exit to the north.",You are carrying nothing.,0 of 1,0.0,False,
