step_id,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,,Bedroom,"You arrive in a bedroom. A standard one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out a closed chest drawer in the room. You see an antique trunk. You can see a king-size bed. But the thing is empty.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
1,I will examine the chest drawer to see if there is anything useful inside.,open chest drawer,,You open the chest drawer.,Bedroom,"You arrive in a bedroom. A standard one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened chest drawer in the room. The chest drawer is empty! What a waste of a day! You see an antique trunk. You can see a king-size bed. But the thing is empty.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
2,"Since the chest drawer is empty, I will check the antique trunk next to see if it contains anything.",open antique trunk,,"You open the antique trunk, revealing an old key.",Bedroom,"You arrive in a bedroom. A standard one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened chest drawer in the room. The chest drawer is empty! What a waste of a day! You see an antique trunk. The antique trunk contains an old key. You can see a king-size bed. But the thing is empty.

There is a closed wooden door leading east.",You are carrying nothing.,0 of 1,0.0,False,
3,I should take the old key from the antique trunk to potentially unlock the wooden door.,take old key from antique trunk,,You take the old key from the antique trunk.,Bedroom,"You arrive in a bedroom. A standard one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened chest drawer in the room. The chest drawer is empty! What a waste of a day! You see an antique trunk. Empty! What kind of nightmare TextWorld is this? You can see a king-size bed. But the thing is empty.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
4,I will use the old key to unlock the closed wooden door leading east.,unlock wooden door with old key,,You unlock wooden door.,Bedroom,"You arrive in a bedroom. A standard one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened chest drawer in the room. The chest drawer is empty! What a waste of a day! You see an antique trunk. Empty! What kind of nightmare TextWorld is this? You can see a king-size bed. But the thing is empty.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
5,"Now that the door is unlocked, I will go east through the wooden door to explore the next room.",go east,,You have to open the wooden door first.,Bedroom,"You arrive in a bedroom. A standard one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened chest drawer in the room. The chest drawer is empty! What a waste of a day! You see an antique trunk. Empty! What kind of nightmare TextWorld is this? You can see a king-size bed. But the thing is empty.

There is a closed wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
6,I need to open the unlocked wooden door before going east.,open wooden door,,You open wooden door.,Bedroom,"You arrive in a bedroom. A standard one. You decide to start listing off everything you see in the room, as if you were in a text adventure.

You can make out an opened chest drawer in the room. The chest drawer is empty! What a waste of a day! You see an antique trunk. Empty! What kind of nightmare TextWorld is this? You can see a king-size bed. But the thing is empty.

There is an open wooden door leading east.",You are carrying: an old key.,0 of 1,0.0,False,
7,"Now that the wooden door is open, I will go east through the door to explore the next room.",go east,,"I am pleased to announce that you are now in the kitchen.

You can see a closed refrigerator. You can make out a counter. But the thing hasn't got anything on it. Hm. Oh well You see a stove. However, the stove, like an empty stove, has nothing on it. Oh! Why couldn't there just be stuff on it? You see a kitchen island. Wow, isn't TextWorld just the best? The kitchen island is ordinary. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",Kitchen,"I am pleased to announce that you are now in the kitchen.

You can see a closed refrigerator. You can make out a counter. But the thing hasn't got anything on it. Hm. Oh well You see a stove. However, the stove, like an empty stove, has nothing on it. Oh! Why couldn't there just be stuff on it? You see a kitchen island. Wow, isn't TextWorld just the best? The kitchen island is ordinary. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying: an old key.,0 of 1,0.0,False,
8,I should examine the note on the kitchen island to gather more information.,examine note,,The dinner is almost ready! It's only missing a grilled apple.,Kitchen,"I am pleased to announce that you are now in the kitchen.

You can see a closed refrigerator. You can make out a counter. But the thing hasn't got anything on it. Hm. Oh well You see a stove. However, the stove, like an empty stove, has nothing on it. Oh! Why couldn't there just be stuff on it? You see a kitchen island. Wow, isn't TextWorld just the best? The kitchen island is ordinary. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying: an old key.,0 of 1,0.0,False,
9,I need to find an apple to grill it for the dinner. I will check the refrigerator for an apple.,open refrigerator,,"You open the refrigerator, revealing a milk and a bell pepper.",Kitchen,"I am pleased to announce that you are now in the kitchen.

You can see an opened refrigerator. The refrigerator contains a milk and a bell pepper. You can make out a counter. But the thing hasn't got anything on it. Hm. Oh well You see a stove. However, the stove, like an empty stove, has nothing on it. Oh! Why couldn't there just be stuff on it? You see a kitchen island. Wow, isn't TextWorld just the best? The kitchen island is ordinary. On the kitchen island you can make out a note.

There is a closed screen door leading east. There is an open wooden door leading west. There is an exit to the north. Don't worry, it is unguarded. There is an unguarded exit to the south.",You are carrying: an old key.,0 of 1,0.0,False,
