step_id,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Shed,"You arrive in a shed. A typical one.

You see a closed toolbox. You make out a workbench. The workbench is wooden. However, the workbench, like an empty workbench, has nothing on it.

There is a closed barn door leading east.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
1,"I need to get to the kitchen to check the cookbook for the recipe. The barn door leads east, so I will go east through the barn door.",go east,,You have to open the barn door first.,Shed,"You arrive in a shed. A typical one.

You see a closed toolbox. You make out a workbench. The workbench is wooden. However, the workbench, like an empty workbench, has nothing on it.

There is a closed barn door leading east.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
2,I need to open the barn door before I can go east through it.,open barn door,,You open barn door.,Shed,"You arrive in a shed. A typical one.

You see a closed toolbox. You make out a workbench. The workbench is wooden. However, the workbench, like an empty workbench, has nothing on it.

There is an open barn door leading east.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
3,"Now that the barn door is open, I will go east through it to continue towards the kitchen.",go east,,"Okay, so you're in a backyard, cool, but is it typical? You better believe it is.

Hey, want to see a patio table? Look over there, a patio table. But the thing hasn't got anything on it. You can see a patio chair. However, the patio chair, like an empty patio chair, has nothing on it. It would have been so cool if there was stuff on the patio chair. You can make out a closed BBQ here.

There is a closed patio door leading east. There is an open barn door leading west. There is an exit to the south.",Backyard,"Okay, so you're in a backyard, cool, but is it typical? You better believe it is.

Hey, want to see a patio table? Look over there, a patio table. But the thing hasn't got anything on it. You can see a patio chair. However, the patio chair, like an empty patio chair, has nothing on it. It would have been so cool if there was stuff on the patio chair. You can make out a closed BBQ here.

There is a closed patio door leading east. There is an open barn door leading west. There is an exit to the south.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
4,"I need to get to the kitchen, which is likely inside the house. The patio door to the east is closed, so I should open it and go through it to continue towards the kitchen.",open patio door,,You open patio door.,Backyard,"Okay, so you're in a backyard, cool, but is it typical? You better believe it is.

Hey, want to see a patio table? Look over there, a patio table. But the thing hasn't got anything on it. You can see a patio chair. However, the patio chair, like an empty patio chair, has nothing on it. It would have been so cool if there was stuff on the patio chair. You can make out a closed BBQ here.

There is an open patio door leading east. There is an open barn door leading west. There is an exit to the south.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
5,"Now that the patio door is open, I will go east through it to enter the house and find the kitchen.",go east,,"You are in a corridor. An usual kind of place.



There is an open patio door leading west. You need an exit without a door? You should try going east. You need an exit without a door? You should try going north. You don't like doors? Why not try going south, that entranceway is not blocked by one.",Corridor,"You are in a corridor. An usual kind of place.



There is an open patio door leading west. You need an exit without a door? You should try going east. You need an exit without a door? You should try going north. You don't like doors? Why not try going south, that entranceway is not blocked by one.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
6,The kitchen is likely to be north or east from the corridor. I will go north first to check if the kitchen is there.,go north,,"You've entered a bathroom. You begin looking for stuff.

You scan the room, seeing a toilet. You wonder idly who left that here. The toilet is white. But the thing is empty, unfortunately.

You need an exit without a door? You should try going south.",Bathroom,"You've entered a bathroom. You begin looking for stuff.

You scan the room, seeing a toilet. You wonder idly who left that here. The toilet is white. But the thing is empty, unfortunately.

You need an exit without a door? You should try going south.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
7,The bathroom is not the kitchen. I will go back south to the corridor and then try going east to find the kitchen.,go south,,"You are in a corridor. An usual kind of place.



There is an open patio door leading west. You need an exit without a door? You should try going east. You need an exit without a door? You should try going north. You don't like doors? Why not try going south, that entranceway is not blocked by one.",Corridor,"You are in a corridor. An usual kind of place.



There is an open patio door leading west. You need an exit without a door? You should try going east. You need an exit without a door? You should try going north. You don't like doors? Why not try going south, that entranceway is not blocked by one.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
8,I will go east from the corridor to check if the kitchen is in that direction.,go east,,"You are in a kitchen. It seems to be pretty normal here.

You hear a noise behind you and spin around, but you can't see anything other than a fridge. You shudder, but continue examining the room. You can make out an oven. You make out a table. The table is massive. On the table you see a cookbook and a knife. Suddenly, you bump your head on the ceiling, but it's not such a bad bump that it's going to prevent you from looking at objects and even things. You can see a counter. You see a banana on the counter. You see a stove. You wonder idly who left that here. But the thing is empty, unfortunately.

There is a closed frosted-glass door leading east. You need an exit without a door? You should try going south. There is an exit to the west.",Kitchen,"You are in a kitchen. It seems to be pretty normal here.

You hear a noise behind you and spin around, but you can't see anything other than a fridge. You shudder, but continue examining the room. You can make out an oven. You make out a table. The table is massive. On the table you see a cookbook and a knife. Suddenly, you bump your head on the ceiling, but it's not such a bad bump that it's going to prevent you from looking at objects and even things. You can see a counter. You see a banana on the counter. You see a stove. You wonder idly who left that here. But the thing is empty, unfortunately.

There is a closed frosted-glass door leading east. You need an exit without a door? You should try going south. There is an exit to the west.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
9,I need to check the cookbook on the table to find the recipe for the meal I want to cook.,take cookbook from table,,You're carrying too many things already.,Kitchen,"You are in a kitchen. It seems to be pretty normal here.

You hear a noise behind you and spin around, but you can't see anything other than a fridge. You shudder, but continue examining the room. You can make out an oven. You make out a table. The table is massive. On the table you see a cookbook and a knife. Suddenly, you bump your head on the ceiling, but it's not such a bad bump that it's going to prevent you from looking at objects and even things. You can see a counter. You see a banana on the counter. You see a stove. You wonder idly who left that here. But the thing is empty, unfortunately.

There is a closed frosted-glass door leading east. You need an exit without a door? You should try going south. There is an exit to the west.","You are carrying: a white onion, a red onion, a raw red potato, a red apple and a raw yellow potato.",0 of 16,0.0,False,
10,I am carrying too many items to take the cookbook. I will put down one item to free up space to take the cookbook.,drop red apple,,You drop the red apple on the ground.,Kitchen,"You are in a kitchen. It seems to be pretty normal here.

You hear a noise behind you and spin around, but you can't see anything other than a fridge. You shudder, but continue examining the room. You can make out an oven. You make out a table. The table is massive. On the table you see a cookbook and a knife. Suddenly, you bump your head on the ceiling, but it's not such a bad bump that it's going to prevent you from looking at objects and even things. You can see a counter. You see a banana on the counter. You see a stove. You wonder idly who left that here. But the thing is empty, unfortunately.

There is a closed frosted-glass door leading east. You need an exit without a door? You should try going south. There is an exit to the west.

There is a red apple on the floor.","You are carrying: a white onion, a red onion, a raw red potato and a raw yellow potato.",0 of 16,0.0,False,
