step_id,plan,summary,thought,action,task,feedback,location,description,inventory,score,reward,is_done,error
0,,,,,"You are hungry! Let's cook a delicious meal. Check the cookbook in the kitchen for the recipe. Once done, enjoy your meal!",,Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.","You are carrying: a carrot, a yellow bell pepper and an orange bell pepper.",0 of 14,0.0,False,
1,,I am in the kitchen with various items on the counter and a secret stove revealed.,I should examine the cookbook to find a recipe for a delicious meal.,examine cookbook,,"You open the copy of ""Cooking: A Modern Approach (3rd Ed.)"" and start reading:

Recipe #1
---------
Gather all following ingredients and follow the directions to prepare this tasty meal.

Ingredients:
block of cheese
  pork chop
  banana
  red apple

Directions:
chop the block of cheese
  roast the block of cheese
  chop the pork chop
  fry the pork chop
  slice the banana
  roast the banana
  slice the red apple
  roast the red apple
  prepare meal",Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.","You are carrying: a carrot, a yellow bell pepper and an orange bell pepper.",0 of 14,0.0,False,
2,,"I examined the cookbook and found a recipe requiring cheese, pork chop, banana, and red apple.","I need to find the block of cheese and pork chop, which are not currently visible on the counter. I should check the fridge for these ingredients.",open fridge,,"You open the fridge, revealing a raw pork chop, a block of cheese and a white onion.",Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. The fridge contains a raw pork chop, a block of cheese and a white onion. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.","You are carrying: a carrot, a yellow bell pepper and an orange bell pepper.",0 of 14,0.0,False,
3,,"I opened the fridge and found a raw pork chop, a block of cheese, and a white onion.",I should take the block of cheese and the raw pork chop from the fridge to prepare the recipe.,take block of cheese from fridge,,"You take the block of cheese from the fridge.



Your score has just gone up by one point.",Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. The fridge contains a raw pork chop and a white onion. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.","You are carrying: a block of cheese, a carrot, a yellow bell pepper and an orange bell pepper.",1 of 14,0.07142857142857142,False,
4,,I took the block of cheese from the fridge and added it to my inventory.,I should now take the raw pork chop from the fridge to have all the ingredients needed for the recipe.,take raw pork chop from fridge,,You're carrying too many things already.,Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. The fridge contains a raw pork chop and a white onion. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.","You are carrying: a block of cheese, a carrot, a yellow bell pepper and an orange bell pepper.",1 of 14,0.07142857142857142,False,
5,,I tried to take the raw pork chop but was carrying too many items.,I should drop some items I don't need for the recipe to free up space for the pork chop.,drop carrot,,You drop the carrot on the ground.,Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. The fridge contains a raw pork chop and a white onion. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.



There is a carrot on the floor.","You are carrying: a block of cheese, a yellow bell pepper and an orange bell pepper.",1 of 14,0.07142857142857142,False,
6,,I dropped the carrot to free up space in my inventory.,I should now take the raw pork chop from the fridge.,take raw pork chop from fridge,,"You take the pork chop from the fridge.



Your score has just gone up by one point.",Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. The fridge contains a white onion. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.



There is a carrot on the floor.","You are carrying: a raw pork chop, a block of cheese, a yellow bell pepper and an orange bell pepper.",2 of 14,0.14285714285714285,False,
7,,I took the raw pork chop from the fridge and added it to my inventory.,I should now take the banana and the red apple from the counter to complete the recipe ingredients.,take banana from counter,,You're carrying too many things already.,Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. The fridge contains a white onion. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.



There is a carrot on the floor.","You are carrying: a raw pork chop, a block of cheese, a yellow bell pepper and an orange bell pepper.",2 of 14,0.14285714285714285,False,
8,,I tried to take the banana but was carrying too many items.,I should drop the yellow bell pepper to free up space for the banana.,drop yellow bell pepper,,You drop the yellow bell pepper on the ground.,Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. The fridge contains a white onion. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a banana, a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.



There is a yellow bell pepper and a carrot on the floor.","You are carrying: a raw pork chop, a block of cheese and an orange bell pepper.",2 of 14,0.14285714285714285,False,
9,,I dropped the yellow bell pepper to free up space in my inventory.,I should now take the banana from the counter.,take banana from counter,,"You take the banana from the counter.



Your score has just gone up by one point.",Kitchen,"You've entered a kitchen. I guess you better just go and list everything you see here.

Were you looking for a fridge? Because look over there, it's a fridge. The fridge contains a white onion. You can make out a closed oven. You scan the room, seeing a table. The table is massive. However, the table, like an empty table, has nothing on it. You rest your hand against a wall, but you miss the wall and fall onto a counter. The counter is vast. On the counter you can make out a red apple, a raw yellow potato, a raw red potato, a raw purple potato, a red hot pepper, a cookbook and a knife. You lean against the wall, inadvertently pressing a secret button. The wall opens up to reveal a stove. But oh no! there's nothing on this piece of garbage.



There is a yellow bell pepper and a carrot on the floor.","You are carrying: a banana, a raw pork chop, a block of cheese and an orange bell pepper.",3 of 14,0.21428571428571427,False,
